Symbol,Short Window,Long Window,Accuracy
VDC,49,74,0.7511595547309833
VGT,60,84,0.7511595547309833
VPU,99,126,0.7511595547309833
VGT,100,125,0.7511595547309833
VTV,33,89,0.7509276437847866
VGT,19,96,0.7509276437847866
VCSH,10,136,0.7505270555165144
VCSH,118,133,0.7505270555165144
VHT,50,114,0.7502319109461967
VDC,31,75,0.7502319109461967
VCSH,121,123,0.7501756851721715
VCSH,118,129,0.7501756851721715
VCSH,116,129,0.7501756851721715
BSV,95,114,0.750071245369051
BSV,71,113,0.750071245369051
VHT,49,107,0.75
VPU,81,120,0.75
VIG,15,110,0.7497997329773031
VGT,119,125,0.7497680890538033
SHY,89,92,0.7495636998254799
VGT,97,111,0.7495361781076066
VGT,129,131,0.7495361781076066
VHT,54,110,0.7495361781076066
VGSH,124,133,0.7494729444834856
VPU,121,124,0.74930426716141
VPU,98,126,0.74930426716141
BSV,14,94,0.7492163009404389
VGT,116,121,0.7490723562152134
VGT,121,127,0.7488404452690167
VCR,50,93,0.7488404452690167
VCSH,125,126,0.7487702037947997
VIG,42,128,0.7487316421895861
VPU,100,117,0.74860853432282
VCSH,120,122,0.7484188334504568
VCSH,118,122,0.7484188334504568
VCR,31,87,0.7483766233766234
VGT,75,136,0.7483766233766234
VHT,53,101,0.7481447124304267
VGT,79,135,0.7481447124304267
VGT,70,130,0.7481447124304267
VGSH,121,129,0.7480674631061138
VDC,47,71,0.7476808905380334
BSV,88,110,0.7475064120832146
BSV,86,104,0.7475064120832146
VGT,65,130,0.7474489795918368
VHT,54,100,0.7472170686456401
VGT,99,112,0.7472170686456401
VPU,76,119,0.7472170686456401
VTV,51,111,0.7472170686456401
VCR,13,92,0.7472170686456401
VTV,37,86,0.7472170686456401
BSV,86,108,0.7469364491308065
VGT,119,121,0.7467532467532467
VGSH,111,123,0.7466619817287421
BSV,70,97,0.7466514676546024
BSV,87,107,0.7466514676546024
BSV,43,103,0.7466514676546024
VTV,3,94,0.74652133580705
VTV,48,116,0.74652133580705
BSV,50,103,0.7463664861783984
VIG,39,89,0.7463284379172229
VPU,103,118,0.7460575139146568
VCSH,14,135,0.7459592410400562
VGSH,55,111,0.7459592410400562
VPU,63,124,0.7458256029684601
VPU,63,124,0.7458256029684601
VPU,107,118,0.7455936920222634
VDC,4,71,0.7455936920222634
VDC,62,79,0.7455936920222634
VIG,44,118,0.7455273698264352
BSV,66,101,0.7455115417497863
BSV,66,97,0.7455115417497863
VCR,73,121,0.7453617810760668
VGT,83,101,0.7453617810760668
VTV,13,87,0.7453617810760668
VTV,52,112,0.7453617810760668
VCR,44,87,0.7453617810760668
VHT,62,110,0.7453617810760668
VTV,49,117,0.7453617810760668
VHT,46,89,0.7448979591836735
VDC,90,92,0.7448979591836735
VIG,45,124,0.7447263017356476
VIG,42,83,0.7447263017356476
VTV,55,110,0.7446660482374768
BSV,62,93,0.7446565973211742
VGSH,16,138,0.7445537596626844
VCSH,122,123,0.7445537596626844
VTV,57,126,0.7444341372912802
BSV,44,93,0.74437161584497
VGSH,126,129,0.7442023893183415
VGSH,129,131,0.7442023893183415
VTV,80,109,0.7442022263450835
VGT,81,98,0.7439703153988868
VCSH,13,133,0.7438510189739986
VTV,91,121,0.7437384044526901
VGSH,11,128,0.7434996486296557
VCSH,17,136,0.7434996486296557
VIG,45,114,0.7433911882510014
SHY,70,86,0.743237347294939
VGSH,116,124,0.7431482782853127
BSV,90,105,0.7429467084639498
VIG,82,137,0.7428571428571429
VGSH,27,140,0.7427969079409698
VCSH,94,131,0.7427969079409698
BSV,53,94,0.7426617269877458
SHY,67,87,0.7425828970331588
VCR,17,74,0.7425788497217068
VDC,10,70,0.7425788497217068
^GSPC,16,113,0.7423647469458988
VHT,58,122,0.7423469387755102
VPU,113,117,0.7423469387755102
VGT,105,109,0.7421150278293135
VPU,66,118,0.7418831168831169
VTV,10,81,0.7418831168831169
MUB,34,115,0.7417743830787309
VGSH,70,109,0.741742796907941
VGSH,50,112,0.741742796907941
VPU,112,116,0.7416512059369202
VIG,51,116,0.7415220293724967
VCSH,110,121,0.741391426563598
VIG,118,130,0.7412550066755674
VIG,126,139,0.7412550066755674
VIG,122,135,0.7412550066755674
VGT,101,106,0.7411873840445269
VTV,126,139,0.7411873840445269
MUB,23,112,0.7411868390129259
VGSH,18,125,0.7410400562192551
VCSH,7,118,0.7410400562192551
VCSH,91,131,0.7410400562192551
VCR,68,98,0.7409554730983302
VHT,71,140,0.7409554730983302
VTV,58,96,0.7409554730983302
VPU,50,124,0.7407235621521335
VCR,49,84,0.7407235621521335
VCR,28,82,0.7407235621521335
VCR,76,107,0.740491651205937
VHT,67,140,0.740491651205937
BSV,35,88,0.7403818751781134
VCSH,20,131,0.7403373155305693
VGT,84,100,0.7402597402597403
VTV,119,133,0.7402597402597403
VTV,52,140,0.7402597402597403
VTV,116,140,0.7400278293135436
VTV,123,133,0.7400278293135436
VCSH,108,124,0.7399859451862263
VTV,113,132,0.7397959183673469
VGSH,71,105,0.7396345748418833
VGSH,34,138,0.7396345748418833
VPU,98,111,0.7395640074211502
VTV,117,139,0.7395640074211502
VDC,35,67,0.7395640074211502
BSV,94,103,0.7395269307495013
MUB,31,129,0.7394242068155111
VIG,122,132,0.7393858477970627
MUB,36,129,0.7391304347826086
VIG,123,133,0.7391188251001335
VIG,128,139,0.7391188251001335
VDC,55,66,0.739100185528757
^GSPC,20,102,0.7390924956369983
VIS,7,131,0.7389626055488541
VTV,126,136,0.7388682745825603
VGT,76,94,0.7388682745825603
VTV,69,117,0.7388682745825603
VTV,124,135,0.7386363636363636
VPU,112,114,0.7386363636363636
VTV,104,135,0.7386363636363636
VIG,82,133,0.738584779706275
VIG,129,136,0.738584779706275
VGSH,97,115,0.7385804638088546
MUB,16,110,0.7385428907168038
MUB,16,108,0.7385428907168038
^GSPC,47,114,0.7384380453752182
VTV,99,116,0.738404452690167
VTV,79,128,0.738404452690167
VCR,82,116,0.7381725417439703
VTV,124,132,0.7381725417439703
VPU,105,112,0.7381725417439703
VTV,66,109,0.7381725417439703
VPU,103,114,0.7381725417439703
VDC,63,71,0.7381725417439703
VHT,71,94,0.7379406307977736
VPU,92,111,0.7379406307977736
VTV,103,133,0.7379406307977736
VIG,54,100,0.7377837116154873
SHY,19,74,0.737783595113438
VCR,32,76,0.737708719851577
VTV,88,126,0.737708719851577
VHT,45,95,0.737708719851577
VYM,15,117,0.7375866851595007
VIG,54,119,0.737516688918558
VTV,82,138,0.7374768089053804
BSV,36,86,0.737247078939869
VTV,127,136,0.7372448979591837
VTV,91,111,0.7372448979591837
VHT,78,139,0.7372448979591837
VTV,103,127,0.7372448979591837
VGSH,103,113,0.7371749824314828
MUB,40,112,0.7370740305522914
VPU,29,93,0.737012987012987
VIG,125,132,0.7369826435246996
VIG,96,134,0.7369826435246996
VIG,58,100,0.7369826435246996
VIG,86,130,0.7369826435246996
VPU,53,116,0.7367810760667903
VHT,127,140,0.7367810760667903
VTV,96,134,0.7367810760667903
VTV,124,129,0.7367810760667903
MUB,39,116,0.736780258519389
VIG,99,136,0.7367156208277703
VIG,123,131,0.7367156208277703
BSV,68,84,0.7366771159874608
VIG,100,138,0.7364485981308411
VIG,106,136,0.7364485981308411
VIG,54,123,0.7364485981308411
VPU,52,118,0.7363172541743971
VHT,49,94,0.7363172541743971
VTV,103,140,0.7363172541743971
VTV,115,121,0.7363172541743971
VGSH,129,130,0.736120871398454
VHT,83,139,0.7360853432282004
VHT,127,136,0.7360853432282004
VHT,128,138,0.7360853432282004
^GSPC,77,116,0.7360383944153578
VIG,122,130,0.7359145527369827
VCR,109,137,0.7358534322820037
VPU,93,107,0.7358534322820037
VCR,97,139,0.7358534322820037
VCR,87,140,0.7358534322820037
BSV,77,86,0.7358221715588487
^GSPC,105,134,0.7358202443280978
VGSH,114,119,0.735769501054111
VIG,124,129,0.7356475300400535
VIG,17,89,0.7356475300400535
VIG,84,127,0.7356475300400535
VIG,94,131,0.7356475300400535
VYM,20,117,0.7356449375866851
VPU,107,110,0.735621521335807
VPU,88,110,0.735621521335807
VPU,107,110,0.735621521335807
^GSPC,23,95,0.7356020942408377
^GSPC,48,112,0.7356020942408377
VHT,115,132,0.7353896103896104
VPU,100,108,0.7353896103896104
VHT,112,137,0.7353896103896104
^GSPC,78,121,0.7353839441535777
^GSPC,102,132,0.7351657940663177
VTV,127,129,0.7351576994434137
VIG,12,86,0.735113484646195
VGSH,25,121,0.7350667603654252
VCR,91,134,0.734925788497217
^GSPC,105,135,0.7347294938917975
MUB,128,137,0.7347238542890717
VPU,35,93,0.7344619666048238
VHT,122,131,0.7344619666048238
BSV,86,94,0.7343972641778285
VGSH,65,99,0.7343640196767393
VGSH,102,111,0.7343640196767393
VIG,103,127,0.7343124165554072
VIG,98,122,0.7343124165554072
VTV,107,122,0.7342300556586271
BSV,54,78,0.7341122827016244
^GSPC,120,134,0.7340750436300174
VCSH,106,121,0.7340126493323963
VCR,91,138,0.7339981447124304
VTV,69,131,0.7339981447124304
VCR,95,138,0.7339981447124304
^GSPC,31,99,0.7338568935427574
HYG,19,117,0.7338273012254204
VIG,130,134,0.7337783711615488
VGT,92,98,0.7337662337662337
MUB,32,138,0.7335487661574618
BSV,32,85,0.7335423197492164
VGT,26,81,0.733534322820037
VPU,45,117,0.733534322820037
^GSPC,87,123,0.7334205933682374
VGSH,82,109,0.7333099086437105
VTV,93,111,0.7333024118738405
VHT,56,99,0.7333024118738405
VTV,98,116,0.7333024118738405
VCR,113,134,0.7333024118738405
VTV,102,112,0.7333024118738405
VTV,71,113,0.7333024118738405
VGT,90,96,0.7330705009276438
VIG,130,132,0.732977303070761
BSV,90,96,0.7329723567968082
MUB,129,137,0.7329612220916569
VCSH,111,112,0.7329585382993675
VPU,99,105,0.7328385899814471
VTV,69,136,0.7328385899814471
VTV,120,123,0.7328385899814471
VCR,116,140,0.7328385899814471
VPU,39,97,0.7328385899814471
SHY,3,73,0.7327661431064573
BSV,72,83,0.7326873753206041
VCSH,33,74,0.7326071679550246
